VenomPresent	TF01	TF02	TF03
0	7	10	10
0	8	8	10
0	11	11	13
0	5	6	11
0	8	8	9
0	9	10	10
0	8	7	9
0	8	9	9
0	12	13	8
0	0	2	9
0	0	2	7
0	12	13	9
0	2	2	9
0	6	7	9
0	11	12	7
0	3	3	12
0	0	1	12
0	5	6	13
0	5	6	7
0	11	12	9
0	2	3	11
0	10	13	9
0	11	12	8
0	6	7	9
0	8	8	12
0	9	10	10
0	6	9	12
0	15	15	8
0	6	8	11
0	11	15	11
0	5	5	11
0	4	6	10
0	6	6	13
0	9	10	8
0	14	16	13
0	15	17	7
0	7	9	11
0	4	4	10
0	7	9	9
0	7	6	5
0	9	10	10
0	8	9	11
0	12	12	8
0	2	4	9
0	17	15	8
0	4	6	8
0	12	13	9
0	12	13	7
0	8	9	12
0	9	8	13
0	6	8	11
0	13	13	11
0	15	15	13
0	9	11	10
0	0	3	9
0	13	15	12
0	13	14	8
0	15	19	8
0	13	13	12
0	5	4	13
0	8	6	14
0	7	8	12
0	0	1	10
0	15	15	8
0	10	12	11
0	13	15	13
0	10	12	11
0	0	2	12
0	9	10	10
0	7	8	8
0	6	7	9
0	4	6	10
0	14	18	8
0	16	19	9
0	9	10	11
0	8	8	9
0	8	9	11
0	7	9	13
0	1	1	9
0	2	3	11
0	9	10	9
0	4	4	10
0	5	7	10
0	6	6	10
0	3	5	11
0	5	5	10
0	10	10	7
0	2	2	9
0	9	12	10
0	9	10	11
0	13	15	13
0	14	16	10
0	11	12	4
0	4	5	10
0	4	5	10
0	8	10	11
0	6	8	11
0	10	12	11
0	2	3	11
0	2	5	6
0	14	15	7
0	4	3	9
0	12	13	10
0	9	8	13
0	15	16	12
0	17	18	11
0	8	10	10
0	10	13	8
0	12	13	7
0	11	12	8
0	1	3	11
0	6	7	11
0	0	-1	12
0	5	7	14
0	11	13	11
0	8	9	9
0	3	4	9
0	11	11	11
0	9	11	11
0	12	13	9
0	6	8	9
0	3	5	6
0	4	7	11
0	8	9	12
0	4	3	9
0	0	1	9
0	16	16	6
0	9	13	8
0	14	15	9
0	10	9	12
0	13	15	8
0	6	7	10
0	3	5	9
0	4	4	9
0	12	13	9
0	6	6	11
1	15	15	11
0	9	11	8
0	0	0	9
0	10	11	13
0	7	10	11
0	3	5	15
0	6	7	11
0	4	5	11
0	12	12	7
0	1	3	10
0	10	12	12
0	13	15	10
0	12	13	8
0	7	9	11
0	4	5	5
0	4	4	4
0	5	7	6
0	1	1	9
0	15	19	8
0	4	4	11
0	7	9	11
0	13	14	10
0	11	10	9
0	7	8	11
0	14	15	13
